,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
property,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
kcLx,24,24,24,28,36,32,24,24,18,36,20,18,24,24,24,24,18
Sa,0.030374,0.035259,0.032275,0.030377,0.024341,0.035286,0.029390,0.027494,0.041198,0.025680,0.027358,0.032124,0.031214,0.035052,0.028432,0.029412,0.030771
Sq,0.038722,0.043636,0.040883,0.037914,0.031865,0.042682,0.037279,0.035757,0.050936,0.032783,0.035757,0.040909,0.039606,0.044146,0.036077,0.037166,0.038296
Ssk,0.596350,0.243420,-0.185240,-0.053111,-0.368590,-0.413220,0.279690,-0.518970,-0.132930,-0.231480,-0.433350,-0.408100,-0.304790,0.435540,0.045090,-0.165340,-0.388120
Sku,4.0061,2.8694,3.0116,2.7075,3.9116,2.5136,2.9741,3.8438,2.8173,3.5043,4.4300,3.3790,3.3936,3.6263,3.2285,3.1011,2.8714
Szmax,0.29488,0.30170,0.26435,0.22625,0.26221,0.26258,0.22903,0.26211,0.26561,0.28183,0.31472,0.26101,0.31848,0.38638,0.26744,0.26585,0.23136
Lxcor,0.53474,2.01280,0.46760,0.22219,0.17860,11.27000,0.21394,0.21600,0.94501,0.70143,0.51916,0.98246,0.99121,1.51720,0.81904,0.68927,0.28080
Lycor,0.51306,0.56110,2.18210,0.19680,5.35200,0.38862,0.35086,0.29582,11.60000,1.09710,1.01710,0.92105,1.37590,1.28480,0.49976,0.64707,0.35739
Ssl,0.59621,2.01740,2.18940,0.35068,5.35200,11.27000,0.35911,0.33506,11.60000,1.46360,1.07270,1.01150,1.74110,1.70410,0.83570,0.83242,0.36126
Sal,0.46703,0.57479,0.46702,0.18711,0.18825,0.38904,0.21814,0.21533,0.94543,0.60185,0.52455,0.93610,0.90146,1.19520,0.50513,0.60095,0.27981
Str,0.78333,0.28492,0.21332,0.53355,0.07011,0.06879,0.60744,0.64266,0.16062,0.41120,0.48899,0.92546,0.51775,0.70139,0.60444,0.72193,0.77452
Strflow,0.959457,0.278766,4.666595,0.885728,29.966405,0.034483,1.639993,1.369537,12.275002,1.564091,1.959126,0.937494,1.388101,0.846823,0.610178,0.938776,1.272756
Esx,0.109780,0.095241,0.141790,0.317680,0.219400,0.074492,0.279750,0.233920,0.070971,0.132540,0.087728,0.059956,0.105690,0.117020,0.100010,0.104840,0.178140
Esy,0.116150,0.142540,0.096267,0.307060,0.098966,0.199800,0.279050,0.224210,0.010470,0.106730,0.058291,0.061096,0.106160,0.105950,0.113300,0.108180,0.146490
S,84.5000,48.0200,43.6178,12.1032,57.2878,63.5064,13.7813,15.8485,269.1200,90.8552,126.1190,153.1250,88.4450,60.5000,77.8752,79.9607,29.2919
Sf,4.6437,2.2926,3.1002,1.9276,6.2971,2.3699,1.9340,1.8557,9.5899,6.0279,5.5408,4.6012,4.6843,3.5476,3.9008,4.2010,2.6115
Sw,42.9423,24.2850,24.2606,6.8774,30.8386,32.2115,7.7089,8.5797,131.6234,46.0512,64.4179,75.6336,44.5344,30.6253,40.1788,41.1891,15.3051
Sf/S,0.054955,0.047743,0.071076,0.159264,0.109920,0.037317,0.140335,0.117090,0.035634,0.066346,0.043933,0.030049,0.052963,0.058638,0.050090,0.052538,0.089154
Sw/S,0.508193,0.505727,0.556209,0.568230,0.538310,0.507217,0.559374,0.541357,0.489088,0.506864,0.510771,0.493934,0.503526,0.506203,0.515938,0.515117,0.522503
Λs,639.1783,914.3026,378.3517,48.0574,115.5719,1830.4538,65.1180,98.9525,1854.2129,389.5413,1153.2015,2934.4651,693.2883,536.6072,831.9310,733.7119,189.9213
αmean,6.2452,5.4930,7.3570,16.8010,11.7112,4.2132,14.9125,12.6735,4.1671,7.5221,4.9368,3.4940,6.0696,6.6626,5.6158,5.8709,9.8607
αrms,7.8332,7.2485,9.1761,20.6622,14.6097,5.4247,18.3877,15.8940,5.3484,9.6070,6.1960,4.4475,7.7363,8.5793,7.0094,7.5421,12.3329
