,,,,,,,,,,
,,,,,,,,,,
sample,Lx/δ,Ly/δ,Lz/δ,nx,ny,nz,"Δx+, Δy+",Δzmax+,ΔU+,peak TKE
s1,13.000,6.500,2.236,480,240,272,4.8750,4.7386,3.39,3.0522
s2,9.800,4.900,2.290,384,192,288,4.5938,4.1600,2.72,3.1007
s3,9.340,4.670,2.287,384,192,288,4.3781,3.6491,3.94,3.0416
s4,4.920,2.460,2.238,384,192,256,2.3063,4.1400,4.95,2.9741
s5,10.704,5.352,2.298,448,224,288,4.3007,3.6196,4.17,3.1119
s6,11.270,5.635,2.292,448,224,288,4.5281,3.6554,1.28,3.4698
s7,5.250,2.625,2.232,384,192,256,2.4609,4.1300,5.02,2.8754
s8,5.630,2.815,2.324,320,160,288,3.1669,3.7235,4.36,3.0628
s9,23.200,11.600,2.292,768,384,256,5.4375,5.0600,2.63,3.2851
s10,13.480,6.740,2.342,512,256,288,4.7391,4.0669,2.84,3.3318
s11,15.882,7.941,2.387,576,288,288,4.9631,4.8632,2.57,3.3552
s12,17.500,8.750,2.308,640,320,256,4.9219,5.0200,1.71,3.4513
s13,13.300,6.650,2.388,512,256,288,4.6758,4.8200,2.82,3.2711
s14,11.000,5.500,2.300,512,256,320,3.8672,3.4765,3.42,3.0021
s15,12.480,6.240,2.248,512,256,288,4.3875,3.5810,2.67,3.2584
s16,12.646,6.323,2.300,512,256,288,4.4459,3.7062,2.77,3.2243
s17,7.654,3.827,2.282,320,160,256,4.3054,4.4037,4.36,3.0024
